available;categoryId;currencyId;delivery;description;id;modified_time;name;oldprice;pickup;picture;price;shop-sku;type;url;vendor;vendorCode;weight
true;Сантехника/Ванны;RUB;true;;528823;1657693026;Стальная ванна 170х75 см Kaldewei Cayono Duo 724 с покрытием Easy-Clean;;true;https://santehmoll.ru/wa-data/public/shop/products/23/88/528823/images/272811/272811.970.jpg;85888.00;272400013001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2F272400013001%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;272400013001;48.700
true;Сантехника/Ванны;RUB;true;;380435;1657693026;Стальная ванна 170х75 см Kaldewei Cayono Duo 724 Standard;77202.00;true;https://santehmoll.ru/wa-data/public/shop/products/35/04/380435/images/272807/272807.970.jpg;63514.00;272400010001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2F272400010001%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;272400010001;48.700
true;Сантехника/Ванны;RUB;true;;531801;1657693026;Стальная ванна 140х70 см Kaldewei Saniform Plus 360-1 Standard;40010.00;true;https://santehmoll.ru/wa-data/public/shop/products/01/18/531801/images/273004/273004.970.jpg;32917.00;111500010001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fsaniform_plus_pustaya_mod360_1_140kh70_belyy%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;111500010001;39.950
true;Сантехника/Уголки, ограждения, поддоны;RUB;true;;387317;1657693026;Комплект ножек для поддонов Kaldewei Universal 5200;5338.00;true;https://santehmoll.ru/wa-data/public/shop/products/17/73/387317/images/273434/273434.970.jpg;4391.00;584377000000;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fopornaya_rama_mod5200_dlya_poddonov_do_90kh90_sm%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;584377000000;
true;Сантехника/Уголки, ограждения, поддоны/Поддоны;RUB;true;;598918;1657693026;Стальной поддон 90х90 см Kaldewei Sanidusch 396 Standard;23229.00;true;https://santehmoll.ru/wa-data/public/shop/products/18/89/598918/images/273610/273610.970.jpg;19110.00;331100010001;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fsanidusch_90x90kh14_mod396_belyy%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Kaldewei;331100010001;27.000
true;Сантехника/Санфаянс;RUB;true;;632030;1657693026;Комплект подвесной унитаз Grohe Euro Ceramic 39328000 + 39330001 + система инсталляции Geberit 111.300.00.5;;true;https://santehmoll.ru/wa-data/public/shop/products/30/20/632030/images/562807/562807.970.jpg;51910.00;SET39328000/4;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset39328000_4_komplekt_grohe_euro_ceramic_39328000_39330001_111300005%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Grohe;SET39328000/4;
true;Сантехника/Санфаянс;RUB;true;;632255;1657693026;Комплект подвесной унитаз Ideal Standard Connect Space E804601 + E772401 + система инсталляции Geberit 458.125.11.1;66203.00;false;https://santehmoll.ru/wa-data/public/shop/products/55/22/632255/images/280509/280509.970.jpg;62890.00;SETE804601/E772401/7;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fsete804601_e772401_7_komplekt_ideal_standard_connect_space_e804601_e772401_458125111%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Ideal Standard;SETE804601/E772401/7;
true;Сантехника/Санфаянс;RUB;true;;632254;1657693026;Комплект подвесной унитаз Ideal Standard Connect Space E804601 + E772401 + система инсталляции Geberit 458.125.21.1;;false;https://santehmoll.ru/wa-data/public/shop/products/54/22/632254/images/280499/280499.970.jpg;68310.00;SETE804601/E772401/6;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fsete804601_e772401_6_komplekt_ideal_standard_connect_space_e804601_e772401_458125211%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Ideal Standard;SETE804601/E772401/6;
true;Сантехника/Санфаянс;RUB;true;;635032;1657693026;Комплект подвесной унитаз Teka Formentera 11.732.00.00 + система инсталляции Geberit 111.362.00.5;;false;https://santehmoll.ru/wa-data/public/shop/products/32/50/635032/images/629585/629585.970.jpg;50180.00;SET117320000/5;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset117320000_5_komplekt_teka_formentera_117320000_111362005%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Teka;SET117320000/5;
true;Сантехника/Санфаянс;RUB;true;;635031;1657693026;Комплект подвесной унитаз Teka Formentera 11.732.00.00 + система инсталляции Geberit 111.300.00.5;47400.00;false;https://santehmoll.ru/wa-data/public/shop/products/31/50/635031/images/629587/629587.970.jpg;44080.00;SET117320000/4;;https://ad.admitad.com/g/dra8qamlvk037e654884d22e56a5b7/?f_id=18282&ulp=https%3A%2F%2Fsantehmoll.ru%2Fproduct%2Fset117320000_4_komplekt_teka_formentera_117320000_111300005%2F%3Futm_source%3Dadmitad%26utm_medium%3Dpartner-network&i=5;Teka;SET117320000/4;
